time,levle,msg
2015-10-11 13:51:54,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-11 13:51:54,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-11 13:51:57,[Warning],"InnoDB: New log files created, LSN=45781"
2015-10-11 13:51:58,[Warning],"InnoDB: Creating foreign key constraint system tables."
2015-10-11 13:52:14,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-11 13:52:14,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-11 13:52:18,[Warning],"Using unique option prefix key_buffer instead of key_buffer_size is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-11 13:52:18,[Warning],"TIMESTAMP with implicit DEFAULT value is deprecated. Please use --explicit_defaults_for_timestamp server option (see documentation for more details)."
2015-10-11 13:52:18,[Warning],"WSREP: Could not open state file for reading: '/var/lib/mysql//grastate.dat'"
2015-10-11 13:52:18,[Warning],"WSREP: access file(/var/lib/mysql//gvwstate.dat) failed(No such file or directory)"
2015-10-11 13:52:18,[Warning],"Using unique option prefix myisam-recover instead of myisam-recover-options is deprecated and will be removed in a future release. Please use the full name instead."
2015-10-11 13:52:18,[Warning],"No existing UUID has been found, so we assume that this is the first time that this server has been started. Generating a new UUID: 499098a5-701f-11e5-96ed-0242ac111a11."
2015-10-11 13:53:02,[Warning],"IP address '172.17.26.1' could not be resolved: Name or service not known"
2015-10-11 13:53:11,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-11 13:53:11,[ERROR],"Invalid (old?) table or database name 'lost+found'"
2015-10-11 13:53:16,[Warning],"WSREP: Action message in non-primary configuration from member 1"
2015-10-11 13:53:17,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:18,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:19,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:20,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:21,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:22,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:23,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:24,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:25,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:26,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:27,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:28,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:29,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:30,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:31,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:32,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:33,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:34,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:35,[Warning],"WSREP: Member 1.0 (pxc-node3) requested state transfer from '*any*', but it is impossible to select State Transfer donor: Resource temporarily unavailable"
2015-10-11 13:53:48,[ERROR],"Invalid (old?) table or database name 'lost+found'"
