time,mean
2015-10-19 21:30:00,740
2015-10-19 21:31:00,781.6666666666667
2015-10-19 21:32:00,791.1666666666666
2015-10-19 21:33:00,791.5
2015-10-19 21:34:00,794
2015-10-19 21:35:00,794.1666666666666
2015-10-19 21:36:00,795
2015-10-19 21:37:00,795
2015-10-19 21:38:00,794.8333333333333
2015-10-19 21:39:00,796
2015-10-19 21:40:00,796
2015-10-19 21:41:00,795.1666666666667
2015-10-19 21:42:00,792.9999999999999
2015-10-19 21:43:00,792.5
2015-10-19 21:44:00,789.6
2015-10-19 21:45:00,786
2015-10-19 21:46:00,786.8333333333333
2015-10-19 21:47:00,787.5
2015-10-19 21:48:00,787.1666666666665
2015-10-19 21:49:00,787.3333333333334
2015-10-19 21:50:00,789.3333333333333
2015-10-19 21:51:00,790
2015-10-19 21:52:00,790
2015-10-19 21:53:00,790.2
2015-10-19 21:54:00,790.5000000000001
2015-10-19 21:55:00,791
2015-10-19 21:56:00,791
2015-10-19 21:57:00,791.1666666666666
2015-10-19 21:58:00,791.6666666666666
2015-10-19 21:59:00,792
2015-10-19 22:00:00,792
2015-10-19 22:01:00,792.1666666666666
2015-10-19 22:02:00,793.1666666666667
2015-10-19 22:03:00,795
2015-10-19 22:04:00,795
2015-10-19 22:05:00,795
2015-10-19 22:06:00,795.3333333333333
2015-10-19 22:07:00,795.8333333333333
2015-10-19 22:08:00,796
2015-10-19 22:09:00,796
2015-10-19 22:10:00,796
2015-10-19 22:11:00,796.6
2015-10-19 22:12:00,797
2015-10-19 22:13:00,796.4999999999999
2015-10-19 22:14:00,796.3333333333334
2015-10-19 22:15:00,795.6666666666666
2015-10-19 22:16:00,795
2015-10-19 22:17:00,795.1666666666666
2015-10-19 22:18:00,795.8333333333333
2015-10-19 22:19:00,796
2015-10-19 22:20:00,792.8
2015-10-19 22:21:00,792
2015-10-19 22:22:00,792.5
2015-10-19 22:23:00,793
2015-10-19 22:24:00,793
2015-10-19 22:25:00,793
2015-10-19 22:26:00,793.3333333333334
2015-10-19 22:27:00,795
2015-10-19 22:28:00,796
2015-10-19 22:29:00,796
2015-10-19 22:30:00,796
2015-10-19 22:31:00,796.3333333333333
2015-10-19 22:32:00,797
2015-10-19 22:33:00,797
2015-10-19 22:34:00,797
2015-10-19 22:35:00,797.1666666666666
2015-10-19 22:36:00,797.8333333333334
2015-10-19 22:37:00,798
