time,levle,msg
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:49,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:50,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:51,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:51,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:30:51,[ERROR],"mysqld: The table 'messages' is full"
2015-10-19 13:45:11,[Warning],"Too many connections"
2015-10-19 13:45:16,[Warning],"Too many connections"
2015-10-19 13:45:16,[Warning],"Too many connections"
2015-10-19 13:45:16,[Warning],"Too many connections"
2015-10-19 13:45:21,[Warning],"Too many connections"
2015-10-19 13:45:21,[Warning],"Too many connections"
2015-10-19 13:45:21,[Warning],"Too many connections"
2015-10-19 13:45:21,[Warning],"Too many connections"
2015-10-19 13:45:26,[Warning],"Too many connections"
2015-10-19 13:45:26,[Warning],"Too many connections"
2015-10-19 13:45:26,[Warning],"Too many connections"
2015-10-19 13:45:26,[Warning],"Too many connections"
2015-10-19 13:45:31,[Warning],"Too many connections"
2015-10-19 13:45:31,[Warning],"Too many connections"
2015-10-19 13:45:31,[Warning],"Too many connections"
2015-10-19 13:45:36,[Warning],"Too many connections"
2015-10-19 13:45:36,[Warning],"Too many connections"
2015-10-19 13:45:36,[Warning],"Too many connections"
2015-10-19 13:45:41,[Warning],"Too many connections"
2015-10-19 13:45:41,[Warning],"Too many connections"
2015-10-19 13:45:41,[Warning],"Too many connections"
2015-10-19 13:45:46,[Warning],"Too many connections"
2015-10-19 13:45:46,[Warning],"Too many connections"
2015-10-19 13:45:46,[Warning],"Too many connections"
2015-10-19 13:45:46,[Warning],"Too many connections"
2015-10-19 13:45:51,[Warning],"Too many connections"
2015-10-19 13:45:51,[Warning],"Too many connections"
2015-10-19 13:45:51,[Warning],"Too many connections"
2015-10-19 13:45:56,[Warning],"Too many connections"
2015-10-19 13:45:56,[Warning],"Too many connections"
2015-10-19 13:45:56,[Warning],"Too many connections"
2015-10-19 13:45:56,[Warning],"Too many connections"
2015-10-19 13:46:01,[Warning],"Too many connections"
2015-10-19 13:46:01,[Warning],"Too many connections"
2015-10-19 13:46:01,[Warning],"Too many connections"
2015-10-19 13:46:11,[Warning],"Too many connections"
2015-10-19 13:46:11,[Warning],"Too many connections"
2015-10-19 13:46:15,[Warning],"WSREP: Failed to report last committed 1588, -4 (Interrupted system call)"
2015-10-19 13:46:16,[Warning],"Too many connections"
2015-10-19 13:46:16,[Warning],"Too many connections"
2015-10-19 13:46:16,[Warning],"Too many connections"
2015-10-19 13:46:16,[Warning],"Too many connections"
2015-10-19 13:46:21,[Warning],"Too many connections"
