start_time,end_time,mem_used
20 Oct 00:24:13.019,20 Oct 00:24:13.120,0MB
20 Oct 00:29:14.024,20 Oct 00:29:14.125,0MB
20 Oct 00:34:15.019,20 Oct 00:34:15.220,0MB
20 Oct 00:39:16.040,20 Oct 00:39:16.140,0MB
20 Oct 00:44:17.064,20 Oct 00:44:17.266,0MB
20 Oct 00:49:18.006,20 Oct 00:49:18.308,0MB
20 Oct 00:54:19.099,20 Oct 00:54:19.200,0MB
20 Oct 00:59:20.050,20 Oct 00:59:20.251,0MB
20 Oct 01:04:21.053,20 Oct 01:04:21.253,0MB
20 Oct 01:09:22.081,20 Oct 01:09:22.182,0MB
20 Oct 01:14:23.069,20 Oct 01:14:23.272,0MB
20 Oct 01:19:24.063,20 Oct 01:19:24.264,0MB
20 Oct 01:24:25.094,20 Oct 01:24:25.196,0MB
20 Oct 01:29:26.040,20 Oct 01:29:26.241,0MB
20 Oct 01:34:27.097,20 Oct 01:34:27.298,0MB
20 Oct 01:39:28.047,20 Oct 01:39:28.148,0MB
20 Oct 01:44:29.057,20 Oct 01:44:29.158,0MB
20 Oct 01:49:30.082,20 Oct 01:49:30.284,0MB
20 Oct 01:54:31.071,20 Oct 01:54:31.272,0MB
20 Oct 01:59:32.007,20 Oct 01:59:32.109,0MB
20 Oct 02:04:33.031,20 Oct 02:04:33.132,0MB
20 Oct 02:09:34.072,20 Oct 02:09:34.273,0MB
20 Oct 02:14:35.075,20 Oct 02:14:35.176,0MB
20 Oct 02:19:36.084,20 Oct 02:19:36.291,0MB
20 Oct 02:24:37.100,20 Oct 02:24:37.301,0MB
20 Oct 02:29:38.034,20 Oct 02:29:38.236,0MB
20 Oct 02:34:39.022,20 Oct 02:34:39.224,0MB
20 Oct 02:39:40.028,20 Oct 02:39:40.129,0MB
20 Oct 02:44:41.059,20 Oct 02:44:41.261,0MB
20 Oct 02:49:42.096,20 Oct 02:49:42.297,0MB
20 Oct 02:54:43.005,20 Oct 02:54:43.206,0MB
20 Oct 02:59:44.006,20 Oct 02:59:44.107,0MB
20 Oct 03:04:45.031,20 Oct 03:04:45.233,0MB
20 Oct 03:09:46.040,20 Oct 03:09:46.141,0MB
20 Oct 03:14:47.036,20 Oct 03:14:47.237,0MB
20 Oct 03:19:48.092,20 Oct 03:19:48.293,0MB
20 Oct 03:24:49.025,20 Oct 03:24:49.126,0MB
20 Oct 03:29:50.089,20 Oct 03:29:50.189,0MB
20 Oct 03:34:51.051,20 Oct 03:34:51.352,0MB
20 Oct 03:39:52.031,20 Oct 03:39:52.131,0MB
20 Oct 03:44:53.007,20 Oct 03:44:53.107,0MB
20 Oct 03:49:54.096,20 Oct 03:49:54.398,0MB
20 Oct 03:54:55.057,20 Oct 03:54:55.258,0MB
20 Oct 03:59:56.041,20 Oct 03:59:56.241,0MB
20 Oct 04:04:57.017,20 Oct 04:04:57.118,0MB
